iter	Passed	Remaining
0	646	63988
1	1343	65835
2	2049	66277
3	2718	65255
4	3391	64432
5	4127	64671
6	4865	64636
7	5674	65258
8	6369	64398
9	7082	63746
10	7764	62824
11	8614	63173
12	9309	62305
13	10057	61781
14	10766	61012
15	11497	60362
16	12310	60105
17	13091	59637
18	13850	59047
19	14651	58606
20	15525	58405
21	16329	57897
22	17074	57161
23	17763	56252
24	18514	55544
25	19233	54740
26	19979	54018
27	20684	53188
28	21434	52478
29	22180	51753
30	22913	51000
31	23656	50270
32	24386	49512
33	25076	48677
34	25850	48007
35	26570	47235
36	27311	46503
37	28005	45692
38	28743	44957
39	29457	44186
40	30190	43444
41	30964	42760
42	31789	42140
43	32723	41648
44	33522	40971
45	34284	40247
46	35029	39501
47	35792	38774
48	36606	38100
49	37337	37337
50	38053	36560
51	38800	35815
52	39585	35103
53	40334	34359
54	41061	33595
55	41760	32811
56	42488	32052
57	43183	31270
58	43928	30526
59	44651	29767
60	45420	29039
61	46210	28322
62	47017	27613
63	47899	26943
64	48691	26218
65	49539	25520
66	50252	24751
67	51002	24001
68	51765	23257
69	52486	22494
70	53229	21741
71	53975	20990
72	54697	20230
73	55475	19491
74	56188	18729
75	56916	17973
76	57695	17233
77	58420	16477
78	59204	15737
79	59985	14996
80	60801	14261
81	61556	13512
82	62366	12773
83	63163	12031
84	64117	11314
85	64827	10553
86	65529	9791
87	66286	9039
88	67010	8282
89	67753	7528
90	68543	6779
91	69313	6027
92	70050	5272
93	70793	4518
94	71530	3764
95	72284	3011
96	73032	2258
97	73770	1505
98	74434	751
99	75151	0
